h_zip,edu_scaled,edu_scaled
98101,Bachelor Degree,65
98101,Graduate/Post-Graduate Degree,45
98101,Some College,11
98101,Associates Degree,9
98101,Vocational/Technical Training,5
98101,High School,3
98101,Less than High School,2
98102,Bachelor Degree,129
98102,Graduate/Post-Graduate Degree,91
98102,Some College,16
98102,Associates Degree,6
98102,High School,6
98102,Vocational/Technical Training,5
98102,Less than High School,2
98103,Bachelor Degree,158
98103,Graduate/Post-Graduate Degree,154
98103,Some College,27
98103,Associates Degree,12
98103,High School,10
98103,Vocational/Technical Training,8
98103,Less than High School,1
98104,Bachelor Degree,49
98104,Graduate/Post-Graduate Degree,27
98104,Some College,22
98104,High School,9
98104,Associates Degree,6
98104,Vocational/Technical Training,4
98104,Less than High School,1
98105,Bachelor Degree,104
98105,Graduate/Post-Graduate Degree,95
98105,Some College,27
98105,High School,11
98105,Associates Degree,7
98105,Less than High School,3
98105,Vocational/Technical Training,3
98106,Bachelor Degree,16
98106,Graduate/Post-Graduate Degree,11
98106,Some College,11
98106,Associates Degree,6
98106,High School,5
98106,Less than High School,3
98106,Vocational/Technical Training,2
98107,Bachelor Degree,93
98107,Graduate/Post-Graduate Degree,84
98107,Some College,14
98107,Associates Degree,9
98107,High School,5
98107,Vocational/Technical Training,4
98108,Bachelor Degree,15
98108,Graduate/Post-Graduate Degree,14
98108,Some College,8
98108,High School,5
98108,Vocational/Technical Training,2
98109,Bachelor Degree,102
98109,Graduate/Post-Graduate Degree,79
98109,Some College,16
98109,Associates Degree,9
98109,Vocational/Technical Training,4
98109,High School,1
98109,Less than High School,1
98112,Graduate/Post-Graduate Degree,61
98112,Bachelor Degree,57
98112,Some College,9
98112,High School,4
98112,Associates Degree,2
98112,Less than High School,1
98115,Graduate/Post-Graduate Degree,132
98115,Bachelor Degree,86
98115,Some College,31
98115,Associates Degree,6
98115,High School,2
98115,Vocational/Technical Training,2
98115,Less than High School,1
98116,Bachelor Degree,35
98116,Graduate/Post-Graduate Degree,31
98116,Some College,12
98116,Associates Degree,6
98116,Vocational/Technical Training,3
98116,High School,1
98117,Graduate/Post-Graduate Degree,55
98117,Bachelor Degree,53
98117,High School,9
98117,Vocational/Technical Training,9
98117,Associates Degree,5
98117,Some College,5
98118,Graduate/Post-Graduate Degree,37
98118,Bachelor Degree,35
98118,Some College,15
98118,High School,10
98118,Associates Degree,4
98118,Vocational/Technical Training,4
98118,Less than High School,1
98119,Bachelor Degree,79
98119,Graduate/Post-Graduate Degree,63
98119,Some College,23
98119,Associates Degree,8
98119,High School,7
98119,Vocational/Technical Training,5
98119,Less than High School,1
98121,Bachelor Degree,74
98121,Graduate/Post-Graduate Degree,56
98121,Some College,13
98121,High School,8
98121,Associates Degree,5
98121,Vocational/Technical Training,2
98121,Less than High School,1
98122,Bachelor Degree,141
98122,Graduate/Post-Graduate Degree,118
98122,Some College,35
98122,Associates Degree,18
98122,High School,9
98122,Vocational/Technical Training,6
98122,Less than High School,3
98125,Bachelor Degree,71
98125,Graduate/Post-Graduate Degree,63
98125,Some College,34
98125,High School,13
98125,Associates Degree,11
98125,Less than High School,8
98125,Vocational/Technical Training,1
98126,Bachelor Degree,41
98126,Graduate/Post-Graduate Degree,17
98126,Some College,10
98126,Associates Degree,7
98126,High School,1
98126,Less than High School,1
98126,Vocational/Technical Training,1
98133,Bachelor Degree,46
98133,Graduate/Post-Graduate Degree,27
98133,Some College,16
98133,High School,11
98133,Associates Degree,9
98133,Vocational/Technical Training,7
98133,Less than High School,2
98134,Bachelor Degree,1
98134,Graduate/Post-Graduate Degree,1
98136,Bachelor Degree,29
98136,Graduate/Post-Graduate Degree,29
98136,Some College,6
98136,Associates Degree,3
98136,High School,1
98136,Less than High School,1
98144,Bachelor Degree,52
98144,Graduate/Post-Graduate Degree,43
98144,Some College,23
98144,Associates Degree,11
98144,Vocational/Technical Training,4
98144,High School,3
98144,Less than High School,3
98146,Some College,11
98146,Bachelor Degree,8
98146,High School,8
98146,Graduate/Post-Graduate Degree,5
98146,Associates Degree,3
98146,Less than High School,1
98146,Vocational/Technical Training,1
98155,Bachelor Degree,1
98155,High School,1
98168,Some College,3
98168,High School,2
98168,Associates Degree,1
98168,Graduate/Post-Graduate Degree,1
98168,Less than High School,1
98177,Bachelor Degree,11
98177,Graduate/Post-Graduate Degree,10
98177,Some College,3
98177,Vocational/Technical Training,1
98178,Bachelor Degree,11
98178,Graduate/Post-Graduate Degree,10
98178,Some College,10
98178,Associates Degree,1
98178,High School,1
98199,Bachelor Degree,25
98199,Graduate/Post-Graduate Degree,18
98199,Some College,7
98199,Associates Degree,2
98199,High School,2
98199,Vocational/Technical Training,2
