ozip,olat,olon,dzip,dlat,dlon,frequency
98101,47.611,-122.333,98101,47.611,-122.333,477
98101,47.611,-122.333,98104,47.605,-122.326,129
98101,47.611,-122.333,98122,47.608,-122.302,104
98101,47.611,-122.333,98121,47.613,-122.344,97
98101,47.611,-122.333,98109,47.629,-122.343,86
98102,47.633,-122.322,98102,47.633,-122.322,278
98102,47.633,-122.322,98122,47.608,-122.302,83
98103,47.671,-122.34,98103,47.671,-122.34,616
98103,47.671,-122.34,98115,47.683,-122.292,114
98103,47.671,-122.34,98105,47.661,-122.293,96
98103,47.671,-122.34,98107,47.67,-122.383,91
98103,47.671,-122.34,98117,47.686,-122.38,75
98104,47.605,-122.326,98104,47.605,-122.326,350
98104,47.605,-122.326,98101,47.611,-122.333,141
98104,47.605,-122.326,98122,47.608,-122.302,85
98105,47.661,-122.293,98105,47.661,-122.293,432
98105,47.661,-122.293,98115,47.683,-122.292,159
98105,47.661,-122.293,98195,47.651,-122.298,125
98105,47.661,-122.293,98103,47.671,-122.34,94
98106,47.536,-122.353,98106,47.536,-122.353,55
98107,47.67,-122.383,98107,47.67,-122.383,439
98107,47.67,-122.383,98117,47.686,-122.38,95
98107,47.67,-122.383,98103,47.671,-122.34,86
98107,47.67,-122.383,98109,47.629,-122.343,51
98108,47.537,-122.31,98108,47.537,-122.31,54
98109,47.629,-122.343,98109,47.629,-122.343,500
98109,47.629,-122.343,98119,47.639,-122.366,110
98109,47.629,-122.343,98121,47.613,-122.344,84
98109,47.629,-122.343,98101,47.611,-122.333,82
98109,47.629,-122.343,98102,47.633,-122.322,56
98112,47.634,-122.293,98112,47.634,-122.293,222
98112,47.634,-122.293,98122,47.608,-122.302,144
98112,47.634,-122.293,98102,47.633,-122.322,51
98115,47.683,-122.292,98115,47.683,-122.292,478
98115,47.683,-122.292,98105,47.661,-122.293,144
98115,47.683,-122.292,98103,47.671,-122.34,112
98115,47.683,-122.292,98125,47.718,-122.302,103
98116,47.575,-122.396,98116,47.575,-122.396,163
98117,47.686,-122.38,98117,47.686,-122.38,209
98117,47.686,-122.38,98107,47.67,-122.383,94
98117,47.686,-122.38,98103,47.671,-122.34,81
98118,47.541,-122.273,98118,47.541,-122.273,166
98119,47.639,-122.366,98119,47.639,-122.366,176
98119,47.639,-122.366,98109,47.629,-122.343,103
98121,47.613,-122.344,98121,47.613,-122.344,178
98121,47.613,-122.344,98101,47.611,-122.333,87
98121,47.613,-122.344,98109,47.629,-122.343,81
98122,47.608,-122.302,98122,47.608,-122.302,530
98122,47.608,-122.302,98112,47.634,-122.293,128
98122,47.608,-122.302,98101,47.611,-122.333,110
98122,47.608,-122.302,98104,47.605,-122.326,90
98122,47.608,-122.302,98144,47.587,-122.298,87
98122,47.608,-122.302,98102,47.633,-122.322,74
98125,47.718,-122.302,98125,47.718,-122.302,402
98125,47.718,-122.302,98115,47.683,-122.292,100
98126,47.549,-122.376,98126,47.549,-122.376,76
98126,47.549,-122.376,98116,47.575,-122.396,56
98133,47.742,-122.344,98133,47.742,-122.344,126
98136,47.535,-122.387,98136,47.535,-122.387,58
98144,47.587,-122.298,98144,47.587,-122.298,161
98144,47.587,-122.298,98122,47.608,-122.302,79
98195,47.651,-122.298,98105,47.661,-122.293,123
98195,47.651,-122.298,98195,47.651,-122.298,63
98199,47.65,-122.398,98199,47.65,-122.398,78
